Date,Open,High,Low,Close,Volume,Adj Close
"Jan 14, 2010",10680.16,10767.15,10619.02,10710.55,3915200000,10710.55
"Jan 13, 2010",10628.09,10747.12,10569.07,10680.77,4170360000,10680.77
"Jan 12, 2010",10662.86,10701.48,10523.35,10627.26,4716160000,10627.26
"Jan 11, 2010",10620.31,10739.87,10538.91,10663.99,4255780000,10663.99
"Jan 8, 2010",10606.40,10653.11,10509.74,10618.19,4389590000,10618.19
"Jan 7, 2010",10571.11,10655.60,10471.73,10606.86,5270680000,10606.86
"Jan 6, 2010",10564.72,10655.22,10488.28,10573.68,4972660000,10573.68
"Jan 5, 2010",10584.56,10647.14,10468.86,10572.02,2491020000,10572.02
"Jan 4, 2010",10430.69,10641.62,10430.69,10583.96,3991400000,10583.96
"Dec 31, 2009",10548.51,10578.74,10420.56,10428.05,2076990000,10428.05
"Dec 30, 2009",10544.36,10583.28,10470.75,10548.51,2277300000,10548.51
"Dec 29, 2009",10547.83,10605.65,10518.59,10545.41,2491020000,10545.41
"Dec 28, 2009",10517.91,10585.02,10477.25,10547.08,2716400000,10547.08
"Dec 24, 2009",10467.12,10541.26,10450.95,10520.10,1267710000,10520.10
"Dec 23, 2009",10464.32,10520.93,10409.00,10466.44,3166870000,10466.44
"Dec 22, 2009",10414.67,10511.56,10399.33,10464.93,3641130000,10464.93
"Dec 21, 2009",10330.10,10489.41,10330.10,10414.14,3977340000,10414.14
"Dec 18, 2009",10309.39,10412.55,10237.75,10328.89,6325890000,10328.89
"Dec 17, 2009",10439.99,10439.99,10279.39,10308.26,7615070400,10308.26
"Dec 16, 2009",10449.81,10552.75,10401.90,10441.12,4829820000,10441.12
"Dec 15, 2009",10499.31,10542.09,10380.96,10452.00,5045100000,10452.00
"Dec 14, 2009",10471.28,10566.88,10431.60,10501.05,4548490000,10501.05
"Dec 11, 2009",10403.41,10516.47,10385.42,10471.50,3791090000,10471.50
"Dec 10, 2009",10336.00,10479.06,10332.14,10405.83,3996490000,10405.83
"Dec 9, 2009",10282.85,10377.11,10207.29,10337.05,4115410000,10337.05
"Dec 8, 2009",10385.42,10385.42,10216.44,10285.97,4748030000,10285.97
"Dec 7, 2009",10386.86,10478.23,10321.11,10390.11,4103360000,10390.11
"Dec 4, 2009",10368.57,10549.04,10285.44,10388.90,5781140000,10388.90
"Dec 3, 2009",10455.63,10533.55,10338.49,10366.15,4810030000,10366.15
"Dec 2, 2009",10470.44,10537.63,10386.03,10452.68,3941340000,10452.68
"Dec 1, 2009",10343.82,10537.03,10343.82,10471.58,4249310000,10471.58
"Nov 30, 2009",10309.77,10394.34,10238.05,10344.84,3895520000,10344.84
"Nov 27, 2009",10452.23,10452.23,10179.33,10309.92,2362910000,10309.92
"Nov 25, 2009",10432.96,10513.60,10385.65,10464.40,3036350000,10464.40
